H,N,F,S,Nickname,Mass,z,m/z,condition
3,2,0,0,H3N2F0S0,910.327765,1,911.335565,M+H
3,2,1,0,H3N2F1S0,1056.385665,1,1057.393465,M+H
4,2,0,0,H4N2F0S0,1072.380565,1,1073.388365,M+H
3,3,0,0,H3N3F0S0,1113.407165,1,1114.414965,M+H
3,2,0,1,H3N2F0S1,1201.423165,1,1202.430965,M+H
4,2,1,0,H4N2F1S0,1218.438465,1,1219.446265,M+H
5,2,0,0,H5N2F0S0,1234.433365,1,1235.441165,M+H
3,3,1,0,H3N3F1S0,1259.465065,1,1260.472865,M+H
4,3,0,0,H4N3F0S0,1275.459965,1,1276.467765,M+H
3,4,0,0,H3N4F0S0,1316.486565,1,1317.494365,M+H
3,2,1,1,H3N2F1S1,1347.481065,1,1348.488865,M+H
4,2,2,0,H4N2F2S0,1364.496365,1,1365.504165,M+H
5,2,1,0,H5N2F1S0,1380.491265,1,1381.499065,M+H
6,2,0,0,H6N2F0S0,1396.486165,1,1397.493965,M+H
3,3,0,1,H3N3F0S1,1404.502565,1,1405.510365,M+H
3,3,2,0,H3N3F2S0,1405.522965,1,1406.530765,M+H
4,3,1,0,H4N3F1S0,1421.517865,1,1422.525665,M+H
5,3,0,0,H5N3F0S0,1437.512765,1,1438.520565,M+H
3,4,1,0,H3N4F1S0,1462.544465,1,1463.552265,M+H
4,4,0,0,H4N4F0S0,1478.539365,1,1479.547165,M+H
4,2,1,1,H4N2F1S1,1509.533865,1,1510.541665,M+H
4,2,3,0,H4N2F3S0,1510.554265,1,1511.562065,M+H
3,5,0,0,H3N5F0S0,1519.565965,1,1520.573765,M+H
6,2,1,0,H6N2F1S0,1542.544065,1,1543.551865,M+H
3,3,1,1,H3N3F1S1,1550.560465,1,1551.568265,M+H
7,2,0,0,H7N2F0S0,1558.538965,1,1559.546765,M+H
4,3,0,1,H4N3F0S1,1566.555365,1,1567.563165,M+H
4,3,2,0,H4N3F2S0,1567.575765,1,1568.583565,M+H
5,3,1,0,H5N3F1S0,1583.570665,1,1584.578465,M+H
6,3,0,0,H6N3F0S0,1599.565565,1,1600.573365,M+H
3,4,2,0,H3N4F2S0,1608.602365,1,1609.610165,M+H
4,4,1,0,H4N4F1S0,1624.597265,1,1625.605065,M+H
5,4,0,0,H5N4F0S0,1640.592165,1,1641.599965,M+H
3,5,1,0,H3N5F1S0,1665.623865,1,1666.631665,M+H
4,5,0,0,H4N5F0S0,1681.618765,1,1682.626565,M+H
7,2,1,0,H7N2F1S0,1704.596865,1,1705.604665,M+H
4,3,1,1,H4N3F1S1,1712.613265,1,1713.621065,M+H
8,2,0,0,H8N2F0S0,1720.591765,1,1721.599565,M+H
5,3,0,1,H5N3F0S1,1728.608165,1,1729.615965,M+H
5,3,2,0,H5N3F2S0,1729.628565,1,1730.636365,M+H
6,3,1,0,H6N3F1S0,1745.623465,1,1746.631265,M+H
3,4,3,0,H3N4F3S0,1754.660265,1,1755.668065,M+H
4,4,0,1,H4N4F0S1,1769.634765,1,1770.642565,M+H
4,4,2,0,H4N4F2S0,1770.655165,1,1771.662965,M+H
5,4,1,0,H5N4F1S0,1786.650065,1,1787.657865,M+H
6,4,0,0,H6N4F0S0,1802.644965,1,1803.652765,M+H
3,5,2,0,H3N5F2S0,1811.681765,1,1812.689565,M+H
4,5,1,0,H4N5F1S0,1827.676665,1,1828.684465,M+H
5,5,0,0,H5N5F0S0,1843.671565,1,1844.679365,M+H
4,3,0,2,H4N3F0S2,1857.650765,1,1858.658565,M+H
4,3,2,1,H4N3F2S1,1858.671165,1,1859.678965,M+H
8,2,1,0,H8N2F1S0,1866.649665,1,1867.657465,M+H
3,6,1,0,H3N6F1S0,1868.703265,1,1869.711065,M+H
5,3,1,1,H5N3F1S1,1874.666065,1,1875.673865,M+H
9,2,0,0,H9N2F0S0,1882.644565,1,1883.652365,M+H
4,6,0,0,H4N6F0S0,1884.698165,1,1885.705965,M+H
6,3,0,1,H6N3F0S1,1890.660965,1,1891.668765,M+H
6,3,2,0,H6N3F2S0,1891.681365,1,1892.689165,M+H
4,4,1,1,H4N4F1S1,1915.692665,1,1916.700465,M+H
4,4,3,0,H4N4F3S0,1916.713065,1,1917.720865,M+H
3,7,0,0,H3N7F0S0,1925.724765,1,1926.732565,M+H
5,4,0,1,H5N4F0S1,1931.687565,1,1932.695365,M+H
5,4,2,0,H5N4F2S0,1932.707965,1,1933.715765,M+H
6,4,1,0,H6N4F1S0,1948.702865,1,1949.710665,M+H
3,5,3,0,H3N5F3S0,1957.739665,1,1958.747465,M+H
7,4,0,0,H7N4F0S0,1964.697765,1,1965.705565,M+H
4,5,0,1,H4N5F0S1,1972.714165,1,1973.721965,M+H
4,5,2,0,H4N5F2S0,1973.734565,1,1974.742365,M+H
5,5,1,0,H5N5F1S0,1989.729465,1,1990.737265,M+H
4,3,1,2,H4N3F1S2,2003.708665,1,2004.716465,M+H
4,3,3,1,H4N3F3S1,2004.729065,1,2005.736865,M+H
6,5,0,0,H6N5F0S0,2005.724365,1,2006.732165,M+H
8,2,0,1,H8N2F0S1,2011.687165,1,2012.694965,M+H
3,6,2,0,H3N6F2S0,2014.761165,1,2015.768965,M+H
5,3,0,2,H5N3F0S2,2019.703565,1,2020.711365,M+H
5,3,2,1,H5N3F2S1,2020.723965,1,2021.731765,M+H
9,2,1,0,H9N2F1S0,2028.702465,1,2029.710265,M+H
4,6,1,0,H4N6F1S0,2030.756065,1,2031.763865,M+H
6,3,1,1,H6N3F1S1,2036.718865,1,2037.726665,M+H
6,3,3,0,H6N3F3S0,2037.739265,1,2038.747065,M+H
10,2,0,0,H10N2F0S0,2044.697365,1,2045.705165,M+H
5,6,0,0,H5N6F0S0,2046.750965,1,2047.758765,M+H
4,4,2,1,H4N4F2S1,2061.750565,1,2062.758365,M+H
3,7,1,0,H3N7F1S0,2071.782665,1,2072.790465,M+H
5,4,1,1,H5N4F1S1,2077.745465,1,2078.753265,M+H
5,4,3,0,H5N4F3S0,2078.765865,1,2079.773665,M+H
4,7,0,0,H4N7F0S0,2087.777565,1,2088.785365,M+H
6,4,0,1,H6N4F0S1,2093.740365,1,2094.748165,M+H
6,4,2,0,H6N4F2S0,2094.760765,1,2095.768565,M+H
3,5,4,0,H3N5F4S0,2103.797565,1,2104.805365,M+H
7,4,1,0,H7N4F1S0,2110.755665,1,2111.763465,M+H
4,5,1,1,H4N5F1S1,2118.772065,1,2119.779865,M+H
4,5,3,0,H4N5F3S0,2119.792465,1,2120.800265,M+H
5,5,0,1,H5N5F0S1,2134.766965,1,2135.774765,M+H
5,5,2,0,H5N5F2S0,2135.787365,1,2136.795165,M+H
6,5,1,0,H6N5F1S0,2151.782265,1,2152.790065,M+H
3,6,3,0,H3N6F3S0,2160.819065,1,2161.826865,M+H
7,5,0,0,H7N5F0S0,2167.777165,1,2168.784965,M+H
4,6,0,1,H4N6F0S1,2175.793565,1,2176.801365,M+H
4,6,2,0,H4N6F2S0,2176.813965,1,2177.821765,M+H
6,3,2,1,H6N3F2S1,2182.776765,1,2183.784565,M+H
10,2,1,0,H10N2F1S0,2190.755265,1,2191.763065,M+H
5,6,1,0,H5N6F1S0,2192.808865,1,2193.816665,M+H
11,2,0,0,H11N2F0S0,2206.750165,1,2207.757965,M+H
4,4,3,1,H4N4F3S1,2207.808465,1,2208.816265,M+H
6,6,0,0,H6N6F0S0,2208.803765,1,2209.811565,M+H
3,7,2,0,H3N7F2S0,2217.840565,1,2218.848365,M+H
5,4,0,2,H5N4F0S2,2222.782965,1,2223.790765,M+H
5,4,2,1,H5N4F2S1,2223.803365,1,2224.811165,M+H
4,7,1,0,H4N7F1S0,2233.835465,1,2234.843265,M+H
6,4,1,1,H6N4F1S1,2239.798265,1,2240.806065,M+H
6,4,3,0,H6N4F3S0,2240.818665,1,2241.826465,M+H
5,7,0,0,H5N7F0S0,2249.830365,1,2250.838165,M+H
7,4,0,1,H7N4F0S1,2255.793165,1,2256.800965,M+H
7,4,2,0,H7N4F2S0,2256.813565,1,2257.821365,M+H
4,5,0,2,H4N5F0S2,2263.809565,1,2264.817365,M+H
4,5,2,1,H4N5F2S1,2264.829965,1,2265.837765,M+H
4,5,4,0,H4N5F4S0,2265.850365,1,2266.858165,M+H
5,5,1,1,H5N5F1S1,2280.824865,1,2281.832665,M+H
5,5,3,0,H5N5F3S0,2281.845265,1,2282.853065,M+H
6,5,0,1,H6N5F0S1,2296.819765,1,2297.827565,M+H
6,5,2,0,H6N5F2S0,2297.840165,1,2298.847965,M+H
3,6,4,0,H3N6F4S0,2306.876965,1,2307.884765,M+H
7,5,1,0,H7N5F1S0,2313.835065,1,2314.842865,M+H
7,5,1,0,H7N5F1S0,2313.835065,1,2314.842865,M+H
4,6,1,1,H4N6F1S1,2321.851465,1,2322.859265,M+H
4,6,3,0,H4N6F3S0,2322.871865,1,2323.879665,M+H
5,6,0,1,H5N6F0S1,2337.846365,1,2338.854165,M+H
5,6,2,0,H5N6F2S0,2338.866765,1,2339.874565,M+H
11,2,1,0,H11N2F1S0,2352.808065,1,2353.815865,M+H
6,6,1,0,H6N6F1S0,2354.861665,1,2355.869465,M+H
3,7,3,0,H3N7F3S0,2363.898465,1,2364.906265,M+H
12,2,0,0,H12N2F0S0,2368.802965,1,2369.810765,M+H
5,4,1,2,H5N4F1S2,2368.840865,1,2369.848665,M+H
5,4,3,1,H5N4F3S1,2369.861265,1,2370.869065,M+H
7,6,0,0,H7N6F0S0,2370.856565,1,2371.864365,M+H
4,7,0,1,H4N7F0S1,2378.872965,1,2379.880765,M+H
4,7,2,0,H4N7F2S0,2379.893365,1,2380.901165,M+H
6,4,0,2,H6N4F0S2,2384.835765,1,2385.843565,M+H
6,4,2,1,H6N4F2S1,2385.856165,1,2386.863965,M+H
5,7,1,0,H5N7F1S0,2395.888265,1,2396.896065,M+H
7,4,1,1,H7N4F1S1,2401.851065,1,2402.858865,M+H
7,4,3,0,H7N4F3S0,2402.871465,1,2403.879265,M+H
4,5,3,1,H4N5F3S1,2410.887865,1,2411.895665,M+H
6,7,0,0,H6N7F0S0,2411.883165,1,2412.890965,M+H
3,8,2,0,H3N8F2S0,2420.919965,1,2421.927765,M+H
5,5,0,2,H5N5F0S2,2425.862365,1,2426.870165,M+H
5,5,2,1,H5N5F2S1,2426.882765,1,2427.890565,M+H
5,5,4,0,H5N5F4S0,2427.903165,1,2428.910965,M+H
4,8,1,0,H4N8F1S0,2436.914865,1,2437.922665,M+H
6,5,1,1,H6N5F1S1,2442.877665,1,2443.885465,M+H
6,5,3,0,H6N5F3S0,2443.898065,1,2444.905865,M+H
5,8,0,0,H5N8F0S0,2452.909765,1,2453.917565,M+H
7,5,0,1,H7N5F0S1,2458.872565,1,2459.880365,M+H
7,5,2,0,H7N5F2S0,2459.892965,1,2460.900765,M+H
4,6,2,1,H4N6F2S1,2467.909365,1,2468.917165,M+H
4,6,4,0,H4N6F4S0,2468.929765,1,2469.937565,M+H
3,9,1,0,H3N9F1S0,2477.941465,1,2478.949265,M+H
5,6,1,1,H5N6F1S1,2483.904265,1,2484.912065,M+H
5,6,3,0,H5N6F3S0,2484.924665,1,2485.932465,M+H
6,6,0,1,H6N6F0S1,2499.899165,1,2500.906965,M+H
6,6,2,0,H6N6F2S0,2500.919565,1,2501.927365,M+H
3,7,4,0,H3N7F4S0,2509.956365,1,2510.964165,M+H
12,2,1,0,H12N2F1S0,2514.860865,1,2515.868665,M+H
7,6,1,0,H7N6F1S0,2516.914465,1,2517.922265,M+H
4,7,1,1,H4N7F1S1,2524.930865,1,2525.938665,M+H
4,7,3,0,H4N7F3S0,2525.951265,1,2526.959065,M+H
6,4,1,2,H6N4F1S2,2530.893665,1,2531.901465,M+H
6,4,3,1,H6N4F3S1,2531.914065,1,2532.921865,M+H
8,6,0,0,H8N6F0S0,2532.909365,1,2533.917165,M+H
10,3,0,1,H10N3F0S1,2538.872165,1,2539.879965,M+H
5,7,0,1,H5N7F0S1,2540.925765,1,2541.933565,M+H
5,7,2,0,H5N7F2S0,2541.946165,1,2542.953965,M+H
7,4,0,2,H7N4F0S2,2546.888565,1,2547.896365,M+H
7,4,2,1,H7N4F2S1,2547.908965,1,2548.916765,M+H
7,4,4,0,H7N4F4S0,2548.929365,1,2549.937165,M+H
4,5,4,1,H4N5F4S1,2556.945765,1,2557.953565,M+H
6,7,1,0,H6N7F1S0,2557.941065,1,2558.948865,M+H
8,4,3,0,H8N4F3S0,2564.924265,1,2565.932065,M+H
5,5,1,2,H5N5F1S2,2571.920265,1,2572.928065,M+H
5,5,3,1,H5N5F3S1,2572.940665,1,2573.948465,M+H
7,7,0,0,H7N7F0S0,2573.935965,1,2574.943765,M+H
6,5,0,2,H6N5F0S2,2587.915165,1,2588.922965,M+H
6,5,2,1,H6N5F2S1,2588.935565,1,2589.943365,M+H
6,5,4,0,H6N5F4S0,2589.955965,1,2590.963765,M+H
5,8,1,0,H5N8F1S0,2598.967665,1,2599.975465,M+H
7,5,1,1,H7N5F1S1,2604.930465,1,2605.938265,M+H
7,5,3,0,H7N5F3S0,2605.950865,1,2606.958665,M+H
4,6,3,1,H4N6F3S1,2613.967265,1,2614.975065,M+H
4,6,5,0,H4N6F5S0,2614.987665,1,2615.995465,M+H
5,6,0,2,H5N6F0S2,2628.941765,1,2629.949565,M+H
5,6,2,1,H5N6F2S1,2629.962165,1,2630.969965,M+H
5,6,4,0,H5N6F4S0,2630.982565,1,2631.990365,M+H
6,6,1,1,H6N6F1S1,2645.957065,1,2646.964865,M+H
6,6,3,0,H6N6F3S0,2646.977465,1,2647.985265,M+H
3,7,5,0,H3N7F5S0,2656.014265,1,2657.022065,M+H
5,4,1,3,H5N4F1S3,2659.936265,1,2660.944065,M+H
5,4,3,2,H5N4F3S2,2660.956665,1,2661.964465,M+H
7,6,0,1,H7N6F0S1,2661.951965,1,2662.959765,M+H
7,6,2,0,H7N6F2S0,2662.972365,1,2663.980165,M+H
4,7,2,1,H4N7F2S1,2670.988765,1,2671.996565,M+H
4,7,4,0,H4N7F4S0,2672.009165,1,2673.016965,M+H
6,4,2,2,H6N4F2S2,2676.951565,1,2677.959365,M+H
5,7,1,1,H5N7F1S1,2686.983665,1,2687.991465,M+H
5,7,3,0,H5N7F3S0,2688.004065,1,2689.011865,M+H
7,4,1,2,H7N4F1S2,2692.946465,1,2693.954265,M+H
7,4,3,1,H7N4F3S1,2693.966865,1,2694.974665,M+H
6,7,0,1,H6N7F0S1,2702.978565,1,2703.986365,M+H
6,7,2,0,H6N7F2S0,2703.998965,1,2705.006765,M+H
5,5,2,2,H5N5F2S2,2717.978165,1,2718.985965,M+H
5,5,4,1,H5N5F4S1,2718.998565,1,2720.006365,M+H
7,7,1,0,H7N7F1S0,2719.993865,1,2721.001665,M+H
4,8,1,1,H4N8F1S1,2728.010265,1,2729.018065,M+H
6,5,1,2,H6N5F1S2,2733.973065,1,2734.980865,M+H
6,5,3,1,H6N5F3S1,2734.993465,1,2736.001265,M+H
7,5,0,2,H7N5F0S2,2749.967965,1,2750.975765,M+H
7,5,2,1,H7N5F2S1,2750.988365,1,2751.996165,M+H
4,6,4,1,H4N6F4S1,2760.025165,1,2761.032965,M+H
5,6,1,2,H5N6F1S2,2774.999665,1,2776.007465,M+H
5,6,3,1,H5N6F3S1,2776.020065,1,2777.027865,M+H
5,6,5,0,H5N6F5S0,2777.040465,1,2778.048265,M+H
6,6,0,2,H6N6F0S2,2790.994565,1,2792.002365,M+H
6,6,2,1,H6N6F2S1,2792.014965,1,2793.022765,M+H
6,6,4,0,H6N6F4S0,2793.035365,1,2794.043165,M+H
5,4,2,3,H5N4F2S3,2805.994165,1,2807.001965,M+H
7,6,1,1,H7N6F1S1,2808.009865,1,2809.017665,M+H
7,6,3,0,H7N6F3S0,2809.030265,1,2810.038065,M+H
4,7,3,1,H4N7F3S1,2817.046665,1,2818.054465,M+H
4,7,5,0,H4N7F5S0,2818.067065,1,2819.074865,M+H
6,4,3,2,H6N4F3S2,2823.009465,1,2824.017265,M+H
8,6,0,1,H8N6F0S1,2824.004765,1,2825.012565,M+H
5,7,0,2,H5N7F0S2,2832.021165,1,2833.028965,M+H
5,7,2,1,H5N7F2S1,2833.041565,1,2834.049365,M+H
5,7,4,0,H5N7F4S0,2834.061965,1,2835.069765,M+H
7,4,2,2,H7N4F2S2,2839.004365,1,2840.012165,M+H
6,7,1,1,H6N7F1S1,2849.036465,1,2850.044265,M+H
6,7,3,0,H6N7F3S0,2850.056865,1,2851.064665,M+H
5,5,3,2,H5N5F3S2,2864.036065,1,2865.043865,M+H
6,5,0,3,H6N5F0S3,2879.010565,1,2880.018365,M+H
6,5,2,2,H6N5F2S2,2880.030965,1,2881.038765,M+H
6,5,4,1,H6N5F4S1,2881.051365,1,2882.059165,M+H
7,5,1,2,H7N5F1S2,2896.025865,1,2897.033665,M+H
7,5,3,1,H7N5F3S1,2897.046265,1,2898.054065,M+H
4,6,5,1,H4N6F5S1,2906.083065,1,2907.090865,M+H
5,6,0,3,H5N6F0S3,2920.037165,1,2921.044965,M+H
5,6,2,2,H5N6F2S2,2921.057565,1,2922.065365,M+H
5,6,4,1,H5N6F4S1,2922.077965,1,2923.085765,M+H
6,6,1,2,H6N6F1S2,2937.052465,1,2938.060265,M+H
6,6,3,1,H6N6F3S1,2938.072865,1,2939.080665,M+H
6,6,5,0,H6N6F5S0,2939.093265,1,2940.101065,M+H
5,4,3,3,H5N4F3S3,2952.052065,1,2953.059865,M+H
7,6,0,2,H7N6F0S2,2953.047365,1,2954.055165,M+H
7,6,2,1,H7N6F2S1,2954.067765,1,2955.075565,M+H
7,6,4,0,H7N6F4S0,2955.088165,1,2956.095965,M+H
4,7,4,1,H4N7F4S1,2963.104565,1,2964.112365,M+H
5,7,1,2,H5N7F1S2,2978.079065,1,2979.086865,M+H
5,7,3,1,H5N7F3S1,2979.099465,1,2980.107265,M+H
5,7,5,0,H5N7F5S0,2980.119865,1,2981.127665,M+H
7,4,3,2,H7N4F3S2,2985.062265,1,2986.070065,M+H
6,7,0,2,H6N7F0S2,2994.073965,1,2995.081765,M+H
6,7,2,1,H6N7F2S1,2995.094365,1,2996.102165,M+H
6,7,4,0,H6N7F4S0,2996.114765,1,2997.122565,M+H
5,5,0,4,H5N5F0S4,3008.053165,1,3009.060965,M+H
5,5,4,2,H5N5F4S2,3010.093965,1,3011.101765,M+H
7,7,1,1,H7N7F1S1,3011.089265,1,3012.097065,M+H
7,7,3,0,H7N7F3S0,3012.109665,1,3013.117465,M+H
6,5,1,3,H6N5F1S3,3025.068465,1,3026.076265,M+H
6,5,3,2,H6N5F3S2,3026.088865,1,3027.096665,M+H
3,11,2,0,H3N11F2S0,3030.158165,1,3031.165965,M+H
5,8,2,1,H5N8F2S1,3036.120965,1,3037.128765,M+H
7,5,0,3,H7N5F0S3,3041.063365,1,3042.071165,M+H
7,5,2,2,H7N5F2S2,3042.083765,1,3043.091565,M+H
5,6,1,3,H5N6F1S3,3066.095065,1,3067.102865,M+H
5,6,3,2,H5N6F3S2,3067.115465,1,3068.123265,M+H
5,6,5,1,H5N6F5S1,3068.135865,1,3069.143665,M+H
6,6,0,3,H6N6F0S3,3082.089965,1,3083.097765,M+H
6,6,2,2,H6N6F2S2,3083.110365,1,3084.118165,M+H
6,6,4,1,H6N6F4S1,3084.130765,1,3085.138565,M+H
5,4,4,3,H5N4F4S3,3098.109965,1,3099.117765,M+H
7,6,1,2,H7N6F1S2,3099.105265,1,3100.113065,M+H
7,6,3,1,H7N6F3S1,3100.125665,1,3101.133465,M+H
7,6,5,0,H7N6F5S0,3101.146065,1,3102.153865,M+H
6,9,0,1,H6N9F0S1,3109.137365,1,3110.145165,M+H
4,7,5,1,H4N7F5S1,3109.162465,1,3110.170265,M+H
5,7,2,2,H5N7F2S2,3124.136965,1,3125.144765,M+H
5,7,4,1,H5N7F4S1,3125.157365,1,3126.165165,M+H
6,7,1,2,H6N7F1S2,3140.131865,1,3141.139665,M+H
6,7,3,1,H6N7F3S1,3141.152265,1,3142.160065,M+H
6,7,5,0,H6N7F5S0,3142.172665,1,3143.180465,M+H
7,7,0,2,H7N7F0S2,3156.126765,1,3157.134565,M+H
7,7,2,1,H7N7F2S1,3157.147165,1,3158.154965,M+H
7,7,4,0,H7N7F4S0,3158.167565,1,3159.175365,M+H
4,8,4,1,H4N8F4S1,3166.183965,1,3167.191765,M+H
6,5,0,4,H6N5F0S4,3170.105965,1,3171.113765,M+H
6,5,2,3,H6N5F2S3,3171.126365,1,3172.134165,M+H
6,5,4,2,H6N5F4S2,3172.146765,1,3173.154565,M+H
7,5,3,2,H7N5F3S2,3188.141665,1,3189.149465,M+H
6,8,4,0,H6N8F4S0,3199.194165,1,3200.201965,M+H
5,6,4,2,H5N6F4S2,3213.173365,1,3214.181165,M+H
4,9,1,2,H4N9F1S2,3222.185065,1,3223.192865,M+H
6,6,1,3,H6N6F1S3,3228.147865,1,3229.155665,M+H
6,6,3,2,H6N6F3S2,3229.168265,1,3230.176065,M+H
6,6,5,1,H6N6F5S1,3230.188665,1,3231.196465,M+H
7,6,0,3,H7N6F0S3,3244.142765,1,3245.150565,M+H
7,6,2,2,H7N6F2S2,3245.163165,1,3246.170965,M+H
7,6,4,1,H7N6F4S1,3246.183565,1,3247.191365,M+H
6,9,1,1,H6N9F1S1,3255.195265,1,3256.203065,M+H
6,9,3,0,H6N9F3S0,3256.215665,1,3257.223465,M+H
5,7,3,2,H5N7F3S2,3270.194865,1,3271.202665,M+H
5,7,5,1,H5N7F5S1,3271.215265,1,3272.223065,M+H
6,7,0,3,H6N7F0S3,3285.169365,1,3286.177165,M+H
6,7,2,2,H6N7F2S2,3286.189765,1,3287.197565,M+H
6,7,4,1,H6N7F4S1,3287.210165,1,3288.217965,M+H
7,7,1,2,H7N7F1S2,3302.184665,1,3303.192465,M+H
7,7,3,1,H7N7F3S1,3303.205065,1,3304.212865,M+H
7,7,5,0,H7N7F5S0,3304.225465,1,3305.233265,M+H
6,10,0,1,H6N10F0S1,3312.216765,1,3313.224565,M+H
6,5,1,4,H6N5F1S4,3316.163865,1,3317.171665,M+H
6,5,3,3,H6N5F3S3,3317.184265,1,3318.192065,M+H
8,7,2,1,H8N7F2S1,3319.199965,1,3320.207765,M+H
8,7,4,0,H8N7F4S0,3320.220365,1,3321.228165,M+H
8,10,0,0,H8N10F0S0,3345.226965,1,3346.234765,M+H
5,6,1,4,H5N6F1S4,3357.190465,1,3358.198265,M+H
5,6,5,2,H5N6F5S2,3359.231265,1,3360.239065,M+H
6,11,1,0,H6N11F1S0,3370.258665,1,3371.266465,M+H
6,6,0,4,H6N6F0S4,3373.185365,1,3374.193165,M+H
6,6,2,3,H6N6F2S3,3374.205765,1,3375.213565,M+H
6,6,4,2,H6N6F4S2,3375.226165,1,3376.233965,M+H
7,6,1,3,H7N6F1S3,3390.200665,1,3391.208465,M+H
7,6,3,2,H7N6F3S2,3391.221065,1,3392.228865,M+H
7,6,5,1,H7N6F5S1,3392.241465,1,3393.249265,M+H
6,9,4,0,H6N9F4S0,3402.273565,1,3403.281365,M+H
5,7,4,2,H5N7F4S2,3416.252765,1,3417.260565,M+H
6,7,1,3,H6N7F1S3,3431.227265,1,3432.235065,M+H
6,7,3,2,H6N7F3S2,3432.247665,1,3433.255465,M+H
6,7,5,1,H6N7F5S1,3433.268065,1,3434.275865,M+H
7,7,0,3,H7N7F0S3,3447.222165,1,3448.229965,M+H
7,7,2,2,H7N7F2S2,3448.242565,1,3449.250365,M+H
7,7,4,1,H7N7F4S1,3449.262965,1,3450.270765,M+H
6,5,4,3,H6N5F4S3,3463.242165,1,3464.249965,M+H
8,7,1,2,H8N7F1S2,3464.237465,1,3465.245265,M+H
6,8,4,1,H6N8F4S1,3490.289565,1,3491.297365,M+H
6,6,3,3,H6N6F3S3,3520.263665,1,3521.271465,M+H
6,6,5,2,H6N6F5S2,3521.284065,1,3522.291865,M+H
7,6,0,4,H7N6F0S4,3535.238165,1,3536.245965,M+H
7,6,2,3,H7N6F2S3,3536.258565,1,3537.266365,M+H
7,6,4,2,H7N6F4S2,3537.278965,1,3538.286765,M+H
11,5,3,1,H11N5F3S1,3545.257465,1,3546.265265,M+H
5,7,5,2,H5N7F5S2,3562.310665,1,3563.318465,M+H
6,7,2,3,H6N7F2S3,3577.285165,1,3578.292965,M+H
6,7,4,2,H6N7F4S2,3578.305565,1,3579.313365,M+H
5,10,1,2,H5N10F1S2,3587.317265,1,3588.325065,M+H
7,7,1,3,H7N7F1S3,3593.280065,1,3594.287865,M+H
7,7,3,2,H7N7F3S2,3594.300465,1,3595.308265,M+H
7,7,5,1,H7N7F5S1,3595.320865,1,3596.328665,M+H
8,7,0,3,H8N7F0S3,3609.274965,1,3610.282765,M+H
8,7,4,1,H8N7F4S1,3611.315765,1,3612.323565,M+H
8,5,3,3,H8N5F3S3,3641.289865,1,3642.297665,M+H
6,6,4,3,H6N6F4S3,3666.321565,1,3667.329365,M+H
7,11,0,1,H7N11F0S1,3677.348965,1,3678.356765,M+H
7,6,1,4,H7N6F1S4,3681.296065,1,3682.303865,M+H
7,6,3,3,H7N6F3S3,3682.316465,1,3683.324265,M+H
7,6,5,2,H7N6F5S2,3683.336865,1,3684.344665,M+H
9,8,2,1,H9N8F2S1,3684.332165,1,3685.339965,M+H
8,6,0,4,H8N6F0S4,3697.290965,1,3698.298765,M+H
5,7,4,3,H5N7F4S3,3707.348165,1,3708.355965,M+H
9,11,0,0,H9N11F0S0,3710.359165,1,3711.366965,M+H
6,7,1,4,H6N7F1S4,3722.322665,1,3723.330465,M+H
6,7,3,3,H6N7F3S3,3723.343065,1,3724.350865,M+H
6,7,5,2,H6N7F5S2,3724.363465,1,3725.371265,M+H
7,7,0,4,H7N7F0S4,3738.317565,1,3739.325365,M+H
7,7,2,3,H7N7F2S3,3739.337965,1,3740.345765,M+H
7,7,4,2,H7N7F4S2,3740.358365,1,3741.366165,M+H
6,5,4,4,H6N5F4S4,3754.337565,1,3755.345365,M+H
8,7,1,3,H8N7F1S3,3755.332865,1,3756.340665,M+H
8,7,3,2,H8N7F3S2,3756.353265,1,3757.361065,M+H
6,8,2,3,H6N8F2S3,3780.364565,1,3781.372365,M+H
7,8,1,3,H7N8F1S3,3796.359465,1,3797.367265,M+H
8,8,0,3,H8N8F0S3,3812.354365,1,3813.362165,M+H
7,6,2,4,H7N6F2S4,3827.353965,1,3828.361765,M+H
7,6,4,3,H7N6F4S3,3828.374365,1,3829.382165,M+H
9,8,1,2,H9N8F1S2,3829.369665,1,3830.377465,M+H
6,7,4,3,H6N7F4S3,3869.400965,1,3870.408765,M+H
7,7,1,4,H7N7F1S4,3884.375465,1,3885.383265,M+H
7,7,3,3,H7N7F3S3,3885.395865,1,3886.403665,M+H
7,7,5,2,H7N7F5S2,3886.416265,1,3887.424065,M+H
8,7,0,4,H8N7F0S4,3900.370365,1,3901.378165,M+H
8,7,4,2,H8N7F4S2,3902.411165,1,3903.418965,M+H
6,8,3,3,H6N8F3S3,3926.422465,1,3927.430265,M+H
7,8,0,4,H7N8F0S4,3941.396965,1,3942.404765,M+H
6,11,1,2,H6N11F1S2,3952.449465,1,3953.457265,M+H
6,6,4,4,H6N6F4S4,3957.416965,1,3958.424765,M+H
7,11,0,2,H7N11F0S2,3968.444365,1,3969.452165,M+H
7,6,3,4,H7N6F3S4,3973.411865,1,3974.419665,M+H
9,8,0,3,H9N8F0S3,3974.407165,1,3975.414965,M+H
7,6,5,3,H7N6F5S3,3974.432265,1,3975.440065,M+H
8,11,1,1,H8N11F1S1,3985.459665,1,3986.467465,M+H
6,7,5,3,H6N7F5S3,4015.458865,1,4016.466665,M+H
7,7,2,4,H7N7F2S4,4030.433365,1,4031.441165,M+H
